,country,year,co2_e,coal_c,elec_g,elec_c,hydro_g,nuclear_g,gas_g,oil_c,oil_g
119,Italy,1969,5.08,0.184,0.0,1930.0,0.0668,0.00273,0.0,1.45,0.0299
2559,Vietnam,2004,1.06,0.107,556.0,488.0,0.0186,0.0,0.0416,0.15,0.246
353,Australia,1974,12.7,1.67,0.0,4580.0,0.0829,0.0,0.339,2.17,1.48
1889,Hungary,1996,6.12,0.415,3400.0,3160.0,0.00173,0.118,0.0,0.681,0.0
48,Portugal,1966,1.34,0.0685,0.0,543.0,0.0512,0.0,0.0,0.298,0.0
2735,Denmark,2007,10.0,0.851,7190.0,6670.0,0.00044,0.0,1.51,1.72,2.77
956,Spain,1983,5.3,0.466,0.0,2790.0,0.0609,0.024,0.0,1.24,0.0
314,India,1973,0.376,0.0667,0.0,100.0,0.0042,0.00035,0.00106,0.0392,0.0121
2424,Algeria,2003,2.82,0.0188,915.0,792.0,0.00071,0.0,2.5,0.314,2.45
2438,Ireland,2003,11.5,0.641,6340.0,6090.0,0.0128,0.0,0.0,2.15,0.0
1353,Indonesia,1989,0.739,0.0199,160.0,137.0,0.00317,0.0,0.202,0.155,0.402
249,India,1972,0.374,0.0692,0.0,100.0,0.00403,0.00017,0.00109,0.038,0.0127
1878,Algeria,1996,3.31,0.00998,706.0,576.0,0.0004,0.0,1.92,0.275,2.02
577,Iraq,1977,3.5,0.0,0.0,488.0,0.00387,0.0,0.0772,0.36,9.31
1945,Belarus,1997,6.25,0.122,2600.0,2950.0,0.00018,0.0,0.0,0.919,0.0
1051,Poland,1984,11.7,2.65,0.0,3160.0,0.00328,0.0,0.108,0.436,0.0
216,Turkey,1971,1.33,0.133,0.0,242.0,0.00619,0.0,0.0,0.236,0.0
3193,Belarus,2013,6.85,0.0891,3340.0,3660.0,0.0,0.0,0.0,0.748,0.0
2094,Argentina,1999,4.02,0.0233,2210.0,2020.0,0.0503,0.0167,0.793,0.551,1.14
1738,Iraq,1994,3.64,0.0,1360.0,1330.0,0.00245,0.0,0.133,1.44,1.27
972,South Korea,1983,3.8,0.415,0.0,1140.0,0.00596,0.0196,0.0,0.622,0.0
336,Poland,1973,10.1,2.26,0.0,2260.0,0.00375,0.0,0.146,0.351,0.0
3068,Japan,2011,9.85,0.859,8590.0,8100.0,0.0566,0.0692,0.0,1.58,0.0
1848,Sweden,1995,6.7,0.315,16800.0,15500.0,0.663,0.681,0.0,1.93,0.0
265,Norway,1972,7.48,0.222,0.0,14500.0,1.47,0.0,0.0,2.15,0.41
3279,Czech Republic,2014,9.83,1.55,8120.0,6260.0,0.0,0.0,0.0,0.851,0.0
797,Slovak Republic,1980,11.9,1.62,0.0,4360.0,0.0391,0.0784,0.0,1.33,0.0
2252,Austria,2001,8.69,0.466,7690.0,7330.0,0.433,0.0,0.0,1.59,0.0
841,Japan,1981,7.81,0.55,0.0,4750.0,0.0645,0.0646,0.0,1.92,0.0
2830,Iraq,2008,3.25,0.0,1240.0,747.0,0.01,0.0,0.196,0.788,4.2
